지역,시도,시군구,노인인구수,치매환자수,기관수,총정원,총현원,노인대비_치매비율,노인대비_치매비율(%),정원차이,부족인원,수용률,판단
서울특별시 강남구,서울특별시,강남구,119399.0,7826.83,80.0,2717.0,2833.0,0.06555188904429685,6.56,-5109.83,5109.83,0.35,부족
서울특별시 강동구,서울특별시,강동구,121795.5,7443.37,104.0,3285.0,3134.0,0.061113670045280816,6.11,-4158.37,4158.37,0.44,부족
서울특별시 영등포구,서울특별시,영등포구,92491.0,6257.889999999999,92.0,2113.0,1977.0,0.06765944794628666,6.77,-4144.889999999999,4144.889999999999,0.34,부족
서울특별시 은평구,서울특별시,은평구,131377.5,8922.51,140.0,4955.0,4712.0,0.06791505394759377,6.79,-3967.51,3967.51,0.56,부족
경기도 소사구,경기도,소사구,63484.0,3879.52,0.0,0.0,0.0,0.06111020099552643,6.11,-3879.52,3879.52,0.0,부족
서울특별시 서대문구,서울특별시,서대문구,80118.0,5679.57,71.0,2113.0,2057.0,0.07089006215831647,7.09,-3566.5699999999997,3566.5699999999997,0.37,부족
서울특별시 관악구,서울특별시,관악구,117545.0,7923.29,132.0,4564.0,4414.0,0.06740644008677528,6.74,-3359.29,3359.29,0.58,부족
서울특별시 마포구,서울특별시,마포구,80786.5,5642.52,58.0,2331.0,2280.0,0.06984483793703157,6.98,-3311.5200000000004,3311.5200000000004,0.41,부족
서울특별시 강북구,서울특별시,강북구,94491.5,6580.16,116.0,3274.0,3005.0,0.06963758644957482,6.96,-3306.16,3306.16,0.5,부족
부산광역시 해운대구,부산광역시,해운대구,113820.0,7463.860000000001,100.0,4301.0,3840.0,0.06557599718854332,6.56,-3162.8600000000006,3162.8600000000006,0.58,부족
서울특별시 동대문구,서울특별시,동대문구,92821.0,6372.72,109.0,3251.0,2948.0,0.06865601534135594,6.87,-3121.7200000000003,3121.7200000000003,0.51,부족
서울특별시 강서구,서울특별시,강서구,145545.5,9323.57,172.0,6225.0,5878.0,0.06405948655231525,6.41,-3098.5699999999997,3098.5699999999997,0.67,부족
서울특별시 성동구,서울특별시,성동구,70485.0,4709.8,52.0,1735.0,1604.0,0.06681989075689863,6.68,-2974.8,2974.8,0.37,부족
서울특별시 중랑구,서울특별시,중랑구,114698.5,7345.5599999999995,167.0,4496.0,4232.0,0.06404233708374564,6.4,-2849.5599999999995,2849.5599999999995,0.61,부족
서울특별시 양천구,서울특별시,양천구,110837.5,6908.36,122.0,4103.0,3953.0,0.06232872448404195,6.23,-2805.3599999999997,2805.3599999999997,0.59,부족
서울특별시 구로구,서울특별시,구로구,110298.5,7203.17,114.0,4426.0,4246.0,0.06530614650244564,6.53,-2777.17,2777.17,0.61,부족
경기도 오정구,경기도,오정구,45521.5,2726.05,0.0,0.0,0.0,0.05988488955768154,5.99,-2726.05,2726.05,0.0,부족
서울특별시 광진구,서울특별시,광진구,81898.0,5283.41,87.0,2559.0,2449.0,0.06451207599697184,6.45,-2724.41,2724.41,0.48,부족
부산광역시 남구,부산광역시,남구,80659.5,5507.76,71.0,2800.0,2390.0,0.06828408309002659,6.83,-2707.76,2707.76,0.51,부족
서울특별시 용산구,서울특별시,용산구,53546.5,3775.75,31.0,1155.0,1168.0,0.07051347893886623,7.05,-2620.75,2620.75,0.31,부족
부산광역시 사하구,부산광역시,사하구,99115.5,6272.6,88.0,3842.0,3368.0,0.06328576256993104,6.33,-2430.6000000000004,2430.6000000000004,0.61,부족
대구광역시 수성구,대구광역시,수성구,108307.5,7372.91,150.0,4999.0,4352.0,0.06807386376751379,6.81,-2373.91,2373.91,0.68,부족
부산광역시 부산진구,부산광역시,부산진구,111196.5,7419.0599999999995,102.0,5161.0,4549.0,0.0667202654759817,6.67,-2258.0599999999995,2258.0599999999995,0.7,부족
경기도 광명시,경기도,광명시,69650.0,4357.04,69.0,2294.0,2170.0,0.0625562096195262,6.26,-2063.04,2063.04,0.53,부족
부산광역시 북구,부산광역시,북구,88829.5,5405.8099999999995,80.0,3400.0,2982.0,0.06085602192965174,6.09,-2005.8099999999995,2005.8099999999995,0.63,부족
서울특별시 도봉구,서울특별시,도봉구,99407.5,6729.02,166.0,4748.0,4425.0,0.06769127077936776,6.77,-1981.0200000000004,1981.0200000000004,0.71,부족
서울특별시 종로구,서울특별시,종로구,39679.5,2839.98,35.0,892.0,845.0,0.07157297849015234,7.16,-1947.98,1947.98,0.31,부족
부산광역시 수영구,부산광역시,수영구,57187.5,3946.33,51.0,2033.0,1792.0,0.06900686338797814,6.9,-1913.33,1913.33,0.52,부족
대구광역시 달서구,대구광역시,달서구,144083.0,8857.91,212.0,6979.0,6199.0,0.06147782875148352,6.15,-1878.9099999999999,1878.9099999999999,0.79,부족
서울특별시 동작구,서울특별시,동작구,97367.5,6642.91,88.0,4770.0,2756.0,0.06822512645389889,6.82,-1872.9099999999999,1872.9099999999999,0.72,부족
부산광역시 서구,부산광역시,서구,39524.0,2845.94,22.0,1092.0,844.0,0.07200536382957191,7.2,-1753.94,1753.94,0.38,부족
